"","subject","activity","tBodyAcc_mean_X","tBodyAcc_mean_Y","tBodyAcc_mean_Z","tBodyAcc_std_X","tBodyAcc_std_Y","tBodyAcc_std_Z","tGravityAcc_mean_X","tGravityAcc_mean_Y","tGravityAcc_mean_Z","tGravityAcc_std_X","tGravityAcc_std_Y","tGravityAcc_std_Z","tBodyAccJerk_mean_X","tBodyAccJerk_mean_Y","tBodyAccJerk_mean_Z","tBodyAccJerk_std_X","tBodyAccJerk_std_Y","tBodyAccJerk_std_Z","tBodyGyro_mean_X","tBodyGyro_mean_Y","tBodyGyro_mean_Z","tBodyGyro_std_X","tBodyGyro_std_Y","tBodyGyro_std_Z","tBodyGyroJerk_mean_X","tBodyGyroJerk_mean_Y","tBodyGyroJerk_mean_Z","tBodyGyroJerk_std_X","tBodyGyroJerk_std_Y","tBodyGyroJerk_std_Z","tBodyAccMag_mean","tBodyAccMag_std","tGravityAccMag_mean","tGravityAccMag_std","tBodyAccJerkMag_mean","tBodyAccJerkMag_std","tBodyGyroMag_mean","tBodyGyroMag_std","tBodyGyroJerkMag_mean","tBodyGyroJerkMag_std","fBodyAcc_mean_X","fBodyAcc_mean_Y","fBodyAcc_mean_Z","fBodyAcc_std_X","fBodyAcc_std_Y","fBodyAcc_std_Z","fBodyAccJerk_mean_X","fBodyAccJerk_mean_Y","fBodyAccJerk_mean_Z","fBodyAccJerk_std_X","fBodyAccJerk_std_Y","fBodyAccJerk_std_Z","fBodyGyro_mean_X","fBodyGyro_mean_Y","fBodyGyro_mean_Z","fBodyGyro_std_X","fBodyGyro_std_Y","fBodyGyro_std_Z","fBodyAccMag_mean","fBodyAccMag_std","fBodyBodyAccJerkMag_mean","fBodyBodyAccJerkMag_std","fBodyBodyGyroMag_mean","fBodyBodyGyroMag_std","fBodyBodyGyroJerkMag_mean","fBodyBodyGyroJerkMag_std"
"1",1,"WALKING",0.274671992515789,-0.0236888285713684,-0.117632590873684,-0.207389273705263,0.0894331036210526,-0.291028635210526,0.871655964736842,-0.352914049157895,0.0470575013494737,-0.953923131157895,-0.949879026210526,-0.940489149789474,0.0800358293765263,0.00870882700736842,0.00383939204842105,-0.117990175282105,0.00229708901368421,-0.512152851473684,-0.0815366715422105,-0.0253191329157895,0.07335739368,-0.465259187793684,-0.479797184421053,-0.393097597452632,-0.0680360769736842,-0.0465739994873684,-0.0566342275157895,-0.376196230315789,-0.593347686863158,-0.375098414047368,-0.115495044311579,-0.129441982509474,-0.115495044311579,-0.129441982509474,-0.189399261763158,-0.0307715458568421,-0.3209096302,-0.421164114842105,-0.522515690210526,-0.502085554568421,-0.14157217114,0.102812385529368,-0.331055195978947,-0.236747478574737,0.0106317305989474,-0.327379410142105,-0.126156071167368,-0.0326170099968421,-0.463413208694737,-0.191943164063158,-0.0294953842842105,-0.560035422842105,-0.328708275316842,-0.477648117242105,-0.278289046764211,-0.510758801842105,-0.488911140842105,-0.494170157473684,-0.0458345632547368,-0.317801434969474,-0.0291958608305263,-0.0414614224210526,-0.446808495231579,-0.507793476547368,-0.526257951631579,-0.507631718684211
"2",1,"WALKING_UPSTAIRS",0.273524444641509,-0.0208184008132075,-0.115277592169811,-0.897256243584906,-0.774123837071698,-0.762022141830189,0.883902578490566,-0.211752194264151,0.0791451120754717,-0.975847486226415,-0.950500945849057,-0.928769866415094,0.075302033395283,-0.00331538781816981,-0.00495454347811321,-0.877007414,-0.855506823962264,-0.896214742641509,-0.0348439660932075,-0.0753128314339623,0.0963811324528302,-0.842381048679245,-0.898561728113208,-0.785706607037736,-0.105475199056604,-0.0362308412981132,-0.0598348324377358,-0.881188706037736,-0.921528553396226,-0.902920696981132,-0.817224081433962,-0.83009678490566,-0.817224081433962,-0.83009678490566,-0.87394330754717,-0.861611963283019,-0.811162192264151,-0.822644968679245,-0.911166571132075,-0.908693463773585,-0.886318944528302,-0.80796744390566,-0.816487989881132,-0.902100457735849,-0.77163685554717,-0.752315802867925,-0.877909383207547,-0.858828682830189,-0.886918346226415,-0.88739737509434,-0.86219655509434,-0.904107469056604,-0.822265577981132,-0.89659759754717,-0.823113955698113,-0.849902348301887,-0.900962842075472,-0.794916672,-0.834489459641509,-0.854197022264151,-0.859158590716981,-0.864856018645283,-0.855967730943396,-0.832098051320755,-0.910158823773585,-0.91296737
"3",1,"WALKING_DOWNSTAIRS",0.254227281897959,-0.00719625114081633,-0.128201533265306,-0.499753265512245,-0.267947988383673,-0.349916077257143,0.83312885122449,-0.173575698018367,-0.114037009628571,-0.951881226734694,-0.941027978367347,-0.886873604795918,0.0861981443061225,-0.0113778041316327,-0.0251647843334694,-0.454917575,-0.436237151391837,-0.673080636938776,-0.0516541876122449,-0.0539637982755102,0.100256075979592,-0.606268632653061,-0.633448811020408,-0.435326219134694,-0.0841927516714286,-0.0516005204673469,-0.045340769644898,-0.624553189387755,-0.748814404285714,-0.617800063673469,-0.374729811387755,-0.402810131755102,-0.374729811387755,-0.402810131755102,-0.503656836530612,-0.419713764918367,-0.44346068977,-0.575871032244898,-0.696733669795918,-0.717409660204082,-0.471005563946939,-0.310338009163265,-0.466388664285714,-0.512546090857143,-0.294735420932653,-0.340531983361224,-0.451025420510204,-0.435629317034694,-0.63125493644898,-0.511066091046939,-0.479003563408163,-0.714989160816327,-0.529351481612245,-0.64050682244898,-0.463289876755102,-0.632471976938776,-0.633669386938776,-0.482012443979592,-0.373633551989796,-0.514771963306122,-0.406925664414286,-0.440722500795918,-0.624051033469388,-0.618078124489796,-0.717796246326531,-0.736981997142857
"4",1,"SITTING",0.276756059361702,-0.0172905092382979,-0.107962654744681,-0.863160478723404,-0.771324772212766,-0.861439823404255,0.585840508085106,0.0227916687234043,0.265760107170213,-0.974642943617021,-0.973844572978723,-0.972298811914894,0.0802545387659575,0.00472155547425532,0.00290173227957447,-0.839815080638298,-0.765729033508511,-0.896198079148936,-0.0446762986085106,-0.0688946686893617,0.0993182961276596,-0.894762086382979,-0.890676509361702,-0.856253594255319,-0.0883779843404255,-0.0439838677744681,-0.0518597313191489,-0.848438836382979,-0.904284572553192,-0.857893221276596,-0.82965619,-0.846619278297872,-0.82965619,-0.846619278297872,-0.835224124680851,-0.805116281021277,-0.84365365787234,-0.871251198085106,-0.887508153191489,-0.882805503404255,-0.847128841276596,-0.75960271392766,-0.866081719787234,-0.870195611914894,-0.79249302212766,-0.869657441914894,-0.843778331702128,-0.776984942659575,-0.886528795106383,-0.850294584680851,-0.76946633462766,-0.904638274468085,-0.855226861914894,-0.889771364680851,-0.835350370425532,-0.907647986170213,-0.89219079212766,-0.877322946382979,-0.827435942765957,-0.882560187234043,-0.799387092553192,-0.812954557680851,-0.870844930425532,-0.896313987234043,-0.88964049106383,-0.882224725744681
"5",1,"STANDING",0.276688076981132,-0.0168575939566038,-0.105370978188679,-0.982888676226415,-0.947864921698113,-0.948482039245283,0.907720126792453,-0.248927505602717,0.18347069609434,-0.977609803584906,-0.958950158490566,-0.945269356415094,0.0718019773962264,0.0124054531243396,0.0015232506654717,-0.980456812641509,-0.970172182264151,-0.982103793396226,-0.0349119316020755,-0.0705273103018868,0.0595465793886792,-0.975612726037736,-0.969233388867925,-0.956964915283019,-0.102004132603774,-0.0431198203962264,-0.0492561912622642,-0.981350554150943,-0.983033713962264,-0.973412552264151,-0.962129056226415,-0.945618538301887,-0.962129056226415,-0.945618538301887,-0.980292766226415,-0.974652307924528,-0.946123738113208,-0.949315002641509,-0.984339823962264,-0.977139273584906,-0.979973807169811,-0.95149298509434,-0.960966931698113,-0.984518435849057,-0.948759480754717,-0.945477585660377,-0.980159953584906,-0.969527516415094,-0.979124416415094,-0.982705269056604,-0.973271143396226,-0.983737413018868,-0.970099665660377,-0.97106715490566,-0.952915039056604,-0.97748404490566,-0.968560469811321,-0.962524231509434,-0.953615049433962,-0.949492698301887,-0.975168624339623,-0.972998553962264,-0.959028758490566,-0.951888412830189,-0.977730151509434,-0.977751552075472
"6",1,"LAYING",0.2832948778,-0.01784790459,-0.10746959714,-0.8542722118,-0.770280181888,-0.8669984586,-0.097026802,0.4411038476,0.48312226658,-0.9690695824,-0.9849863322,-0.9839076516,0.074301077741,0.024199736014,0.007403560532,-0.819405129692,-0.751169405248,-0.8954575936,-0.0260431693048,-0.0961849746,0.11321495702,-0.8825146018,-0.8812620644,-0.848999291,-0.1039743352,-0.035442768338,-0.065255254094,-0.8262858514,-0.8865863788,-0.8362604122,-0.8238840682,-0.8531490304,-0.8238840682,-0.8531490304,-0.82069529988,-0.79129854804,-0.8356232038,-0.866192645,-0.8694315024,-0.862507583,-0.8417967728,-0.75920150116,-0.8717763478,-0.8599396878,-0.79073014434,-0.8743653502,-0.826424748,-0.77447170486,-0.8898884898,-0.82829556434,-0.74303190976,-0.8998563584,-0.8443637622,-0.8797312308,-0.8261847182,-0.8947630668,-0.8832369256,-0.871549216,-0.8297693432,-0.8914423208,-0.79882326708,-0.782304251,-0.8624334464,-0.8950798666,-0.8773626864,-0.8541459406
"7",2,"WALKING",0.276870847271186,-0.018445671069322,-0.109769063966102,0.133798206644068,0.177253795350847,-0.227764411747458,0.929096563898305,-0.258810665762712,0.0151220841545763,-0.955513311016949,-0.95300760220339,-0.940255989491525,0.0968178707883051,0.0235164076949153,0.0141887522525424,0.0351092012186441,0.143886150861017,-0.371350613559322,-0.0210769635542373,-0.0862412290898305,0.0669596030559322,-0.275694769850847,-0.506239984915254,-0.193738510288136,-0.110099031769492,-0.032010539479661,-0.0558031039745763,-0.264729663457627,-0.650305960508475,-0.296756259169491,0.191172662218305,-0.0633071010508475,0.191172662218305,-0.0633071010508475,0.00317151516440678,0.0311701901532203,-0.175140117152542,-0.318001675581356,-0.471123334576271,-0.562020439152542,0.0101789151983051,0.181821072416949,-0.267496047457627,0.177849350818644,0.0974461380559322,-0.268574445059322,-0.0315838574983051,0.101173721105085,-0.33342164220339,0.0113609608118644,0.111036717430983,-0.408407876271186,-0.135638123813559,-0.507275889322034,-0.126758429877966,-0.322307927576271,-0.510004181186441,-0.292000228644068,0.0173409600084746,-0.261636786888136,0.0305486133457627,0.020375184040678,-0.39837956220339,-0.383297278050847,-0.57934064,-0.575154599322034
"8",2,"WALKING_UPSTAIRS",0.270068414666667,-0.0185412358375,-0.106138343991667,-0.767881716183333,-0.711338472354167,-0.763071893320833,0.939579744166667,-0.210080280425,-0.0516550259033333,-0.983637640833333,-0.968877954375,-0.956299637708333,0.0835220614791667,0.0119813885129167,-0.00431129427583333,-0.763931222375,-0.780923604395833,-0.870215491041667,-0.0474161918479167,-0.0555335802666667,0.08148818025,-0.831760055833333,-0.856992962916667,-0.794614594479167,-0.09595251235625,-0.0518732331604167,-0.0641124137020833,-0.857555607083333,-0.9176357125,-0.886960719375,-0.724695085625,-0.7793932955,-0.724695085625,-0.7793932955,-0.792673896177083,-0.765149400666667,-0.788156829833333,-0.7990699364375,-0.895624974166667,-0.909212851666667,-0.776582661566667,-0.731035210529167,-0.796240017541667,-0.765337956552083,-0.71912286439375,-0.763786066625,-0.762912891958333,-0.777704623291667,-0.854830727916667,-0.78736365925,-0.801544539145833,-0.884757619583333,-0.798890647979167,-0.867091367708333,-0.804159791020833,-0.842842694583333,-0.852738157291667,-0.810688835354167,-0.759880211479167,-0.826003213333333,-0.75715349858125,-0.7766740165,-0.835248343958333,-0.8102813013125,-0.90905371375,-0.915830508958333
"9",2,"WALKING_DOWNSTAIRS",0.268035803995745,-0.0248162057623617,-0.114057267970213,0.0833127951419149,0.169935378191489,-0.260682461787234,0.907857101914894,-0.281740878510638,-0.0375296248414894,-0.942787080851064,-0.941618248723404,-0.905985413404255,0.0629182642553191,0.034986924612766,-0.0352005615597872,-0.051376673312766,-0.0870532765617021,-0.521058948723404,0.111682610401277,-0.184344350574468,0.00832443075319149,-0.306610075725532,-0.539139577659574,-0.26853576506383,-0.142960523278936,-0.0292338530787234,-0.0465360591140426,-0.361741526170213,-0.692445295319149,-0.500367922553192,0.15483922106383,-0.117205278425957,0.15483922106383,-0.117205278425957,-0.136956235765957,-0.13431185045,-0.187328089795745,-0.262373951689362,-0.548512196382979,-0.662268141702128,-0.0626736693617021,0.0989812828957447,-0.32793330606383,0.134343440765957,0.13024775487234,-0.284329251638298,-0.0895623100574468,-0.111885188419149,-0.465400848085106,-0.0963501211138298,-0.123988429281277,-0.576650960851064,-0.182093702765957,-0.549126846170213,-0.262212073191489,-0.348317554425532,-0.538013969787234,-0.338914178723404,-0.0646110420319149,-0.286741686710638,-0.0907062585340426,-0.200091276553191,-0.382112579361702,-0.313684425808511,-0.644060566808511,-0.714043300425532
"10",2,"SITTING",0.27150732773913,-0.0169035043521739,-0.105404945695652,-0.962797520217391,-0.909315210434783,-0.933675850869565,-0.102714334782609,0.480334849978261,0.638747645086956,-0.951589555652174,-0.950745131654348,-0.941951094565217,0.0727452969782609,0.00320373185869565,-0.00508674390434783,-0.97387080173913,-0.961136961956522,-0.975741228695652,-0.0242424081043478,-0.0798198302608696,0.142699086206522,-0.962692416521739,-0.958166696521739,-0.940676676304348,-0.0977404559130435,-0.0422839959582609,-0.0745018982608696,-0.976066312173913,-0.980777605,-0.980644940652174,-0.93539452173913,-0.916738770717391,-0.93539452173913,-0.916738770717391,-0.97425446173913,-0.964064008695652,-0.92881150173913,-0.92991969173913,-0.983034997608696,-0.975506512173913,-0.964773718913043,-0.927545400869565,-0.950402673478261,-0.962340565652174,-0.906212321956522,-0.929854154565217,-0.973377216521739,-0.961188324782609,-0.972691155434783,-0.976949147391304,-0.963989316956522,-0.977432873478261,-0.958075121956522,-0.961644281956522,-0.944139227608696,-0.964372145,-0.956699374565217,-0.945148625434783,-0.936048817391304,-0.919946424369565,-0.966398537173913,-0.960245006956522,-0.946733549565217,-0.93143814173913,-0.977537622826087,-0.974419650652174
